Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
96,0.0361,0.1078,1.0447,0.0096,-0.0052,-0.0005
97,0.0343,0.1055,1.0474,0.0084,-0.0069,-0.0011
98,0.0364,0.1116,1.0452,0.0071,-0.0056,-0.0016
99,0.0333,0.109,1.0471,0.0108,-0.0063,-0.0004
100,0.0356,0.1111,1.0466,0.0104,-0.0033,-0.0029
101,0.0349,0.1119,1.0445,0.0041,-0.0025,-0.0003
102,0.0349,0.1078,1.0432,0.0073,-0.0031,-0.0004
103,0.0357,0.1085,1.0438,0.0099,-0.0007,-0.0021
104,0.0344,0.1102,1.0479,0.0065,0.0,-0.0024
105,0.0353,0.1098,1.0446,0.0053,-0.0013,-0.0024
106,0.0383,0.1053,1.0413,0.0107,-0.0007,-0.0036
107,0.0349,0.1089,1.046,0.0136,-0.0007,-0.0027
108,0.0347,0.1118,1.0445,0.0105,-0.0045,-0.0032
109,0.0345,0.1069,1.0422,0.0099,-0.0049,-0.0009
110,0.0338,0.1075,1.0429,0.0153,-0.0021,-0.0032
111,0.035,0.1115,1.0458,0.0126,-0.0016,-0.0017
112,0.0339,0.1071,1.0431,0.0091,-0.0012,-0.0044
113,0.0331,0.1066,1.0439,0.0097,-0.0003,-0.0035
114,0.0371,0.1086,1.0436,0.0119,-0.0013,-0.0024
115,0.0349,0.1072,1.0448,0.0105,-0.0016,-0.0016
116,0.0362,0.1107,1.0452,0.0081,-0.0011,-0.0053
117,0.0356,0.1108,1.0445,0.0061,0.0001,-0.0011
118,0.0328,0.1092,1.0446,0.0088,0.0024,-0.0028
119,0.0345,0.1117,1.0452,0.0075,-0.0008,-0.0023
120,0.0339,0.1083,1.0429,0.0055,-0.0055,-0.0007
121,0.0341,0.1081,1.0442,0.0124,-0.0081,-0.0001
122,0.0376,0.1083,1.0448,0.012,-0.0076,-0.0004
123,0.0368,0.1094,1.0471,0.0065,-0.0061,0.0
124,0.0358,0.1055,1.0421,0.0085,-0.0077,0.0003
125,0.0356,0.1055,1.0457,0.0104,-0.0036,-0.0001
126,0.0345,0.1103,1.0461,0.0081,-0.0048,-0.002
127,0.033,0.1093,1.0466,0.0063,-0.0007,-0.0012
128,0.0361,0.1092,1.0424,0.0061,-0.002,-0.0003
129,0.0364,0.1096,1.0474,0.0113,-0.0011,-0.0019
130,0.0345,0.1076,1.0451,0.0048,-0.0043,-0.0007
131,0.0344,0.1074,1.0444,0.0095,-0.0024,-0.0032
132,0.0353,0.1083,1.0439,0.0073,-0.0057,-0.0003
133,0.0347,0.1086,1.0404,0.013,-0.0037,-0.0016
134,0.0368,0.1086,1.0458,0.0092,-0.0019,-0.0028
135,0.0332,0.1107,1.0454,0.0049,-0.0024,-0.0021
136,0.0352,0.1146,1.0442,0.0093,-0.0024,-0.0017
137,0.0347,0.1098,1.0453,0.0132,-0.0053,-0.0015
138,0.0361,0.1103,1.0462,0.0128,-0.0025,-0.0004
139,0.0358,0.1043,1.0448,0.0077,-0.0044,-0.0008
140,0.0377,0.1075,1.0424,0.0132,-0.0027,-0.0036
141,0.0339,0.1057,1.0411,0.0061,-0.0035,0.0016
142,0.0339,0.1057,1.0451,0.0144,-0.0004,-0.0036
143,0.0359,0.1117,1.0435,0.006,-0.0048,-0.0027
144,0.0361,0.1118,1.0446,0.0061,-0.0021,-0.0011
145,0.032,0.1086,1.0428,0.0125,-0.0025,0.0003
146,0.033,0.1055,1.0475,0.0134,-0.0029,-0.002
147,0.0388,0.1147,1.0434,0.0065,-0.0047,-0.0052
148,0.0356,0.1106,1.0433,0.0031,-0.0071,0.0024
149,0.0334,0.1014,1.0444,0.0169,-0.0016,-0.0011
150,0.0369,0.1102,1.0474,0.0148,-0.0041,-0.0023
151,0.0355,0.1083,1.0451,0.0009,-0.0104,0.0001
152,0.0377,0.1039,1.0378,0.0092,-0.0043,-0.0031
153,0.0372,0.1122,1.0414,0.0198,-0.0011,0.0004
154,0.0306,0.1127,1.0488,0.0091,-0.0047,-0.0043
155,0.0407,0.1074,1.0427,-0.0001,-0.006,-0.0032
156,0.0352,0.103,1.041,0.0107,-0.0016,-0.0003
157,0.028,0.1122,1.0463,0.019,-0.0007,-0.0045
158,0.0394,0.1091,1.0476,0.006,-0.0044,-0.0025
159,0.0396,0.1066,1.0404,-0.0001,-0.0063,-0.0021
160,0.0317,0.1053,1.0417,0.0196,-0.0013,-0.0005
161,0.0359,0.1098,1.0499,0.0165,0.0001,-0.0041
162,0.0392,0.1066,1.0464,-0.0017,-0.0035,-0.0001
163,0.033,0.105,1.0428,0.0029,-0.0049,-0.0013
164,0.0365,0.1132,1.0419,0.0216,0.0003,-0.0041
165,0.0343,0.1151,1.0503,0.0148,-0.0044,0.0023
166,0.0366,0.1061,1.0449,-0.0005,-0.0063,-0.0053
167,0.0366,0.1035,1.04,0.0091,-0.0036,0.0003
168,0.0366,0.1102,1.0436,0.0232,-0.0007,-0.0033
169,0.0333,0.1121,1.0486,0.0092,-0.0048,-0.0011
170,0.0374,0.1089,1.0437,0.0029,-0.0061,-0.0069
171,0.0364,0.1028,1.0405,0.0129,-0.0019,0.0005
172,0.0345,0.1135,1.0466,0.0248,0.0013,-0.0077
173,0.0377,0.1098,1.0481,0.008,-0.0044,-0.0008
174,0.0319,0.1055,1.0416,0.0029,-0.004,-0.0032
175,0.0399,0.1061,1.0414,0.0189,-0.0004,-0.0072
176,0.0374,0.1127,1.0474,0.0148,0.0011,0.0025
177,0.0414,0.0988,1.0487,0.0035,-0.0036,-0.0071
178,0.1453,0.102,1.0384,-0.0093,-0.0049,-0.0843
179,0.2208,0.1381,1.0341,-0.0096,0.0,-0.0345
180,0.2183,0.0872,1.0334,0.0202,-0.0051,0.0241
181,0.202,0.1161,1.0453,0.0304,-0.0012,-0.0158
182,0.2175,0.121,1.0357,-0.01,-0.0101,0.0063
183,0.2045,0.0643,1.0385,0.0105,-0.0168,0.0059
184,0.128,0.1214,1.0353,0.0365,-0.0023,0.0403
185,0.0065,0.0785,1.0576,0.0358,-0.0233,0.1043
186,0.0828,0.0892,1.0509,0.0049,-0.002,-0.0892
187,0.0609,0.14,1.0355,-0.0364,-0.0103,0.0502
188,0.0286,0.0409,1.0277,0.0585,-0.0105,0.0402
189,0.0525,0.1048,1.0676,0.0173,0.0146,-0.031
190,0.0422,0.1049,1.0463,-0.0132,-0.0244,0.0176
191,0.0413,0.0837,1.0312,-0.0053,-0.0021,0.0312
192,0.0551,0.0705,1.0386,0.0362,-0.0092,-0.0109
193,0.0167,0.1056,1.0623,0.0272,0.0,0.0218
194,0.0742,0.1038,1.0397,-0.0244,-0.0185,-0.0254
195,0.0359,0.0645,1.0447,-0.0048,-0.0089,0.0708
196,0.0262,0.0675,1.0406,0.0615,-0.0001,-0.0329
197,0.0654,0.1138,1.0637,-0.0043,-0.0049,-0.0103
198,0.0627,0.0629,1.0455,-0.0249,-0.0154,0.0409
199,0.0138,0.0423,1.0398,0.02,-0.0165,0.0051
200,0.0838,0.1271,1.0448,0.0387,0.0192,-0.0609
201,0.0391,0.0612,1.0701,0.0033,-0.033,0.0972
202,0.021,0.0628,1.0321,-0.0119,-0.0059,-0.0686
203,0.067,0.1071,1.0391,0.0222,-0.0117,-0.0265
204,0.0463,0.0901,1.0499,0.0378,0.0092,0.0471
205,0.0108,0.0553,1.0584,0.0039,-0.0325,-0.0145
206,0.0536,0.1422,1.034,-0.0108,0.0105,-0.08
207,0.0719,0.0668,1.0198,-0.0067,0.0571,0.0517
208,0.0878,0.1232,0.94,0.0788,-0.1019,-0.0325
209,-0.0413,0.1071,1.1478,0.0043,-0.0041,-0.0522
210,0.101,0.1488,0.9724,-0.0365,0.0411,0.0233
211,-0.0933,0.0372,1.0944,0.043,-0.0808,0.0011
212,0.124,0.2081,0.935,-0.0236,0.3907,-0.1346
213,0.0261,0.1225,1.1119,0.0194,-0.298,0.037
214,0.0134,0.1025,0.9692,-0.0868,0.2138,0.0093
215,-0.0079,0.108,1.0618,0.1044,-0.1824,-0.0762
216,0.0388,0.1689,1.063,-0.0112,0.1864,-0.0083
217,0.0205,0.067,1.0513,-0.0182,-0.1334,0.0356
218,-0.0026,0.1168,1.0223,-0.0237,0.0658,-0.0595
219,0.0695,0.1348,1.0289,0.0664,-0.0471,-0.0085
220,-0.0397,0.0803,1.1072,-0.0088,0.0561,0.0756
221,0.0663,0.1133,0.9852,-0.0116,-0.0487,-0.0997
222,0.0271,0.1256,1.0771,-0.0258,0.034,0.025
223,0.0525,0.0583,1.0068,0.0591,-0.0261,0.0477
224,-0.0017,0.0885,1.0826,0.0181,0.0077,-0.0225
225,0.0493,0.1207,1.0493,-0.0274,-0.0352,-0.0534
226,0.0467,0.0651,1.0286,-0.0288,0.0409,0.0624
227,0.0247,0.0704,1.0287,0.0728,-0.031,-0.0165
228,0.0453,0.0898,1.0842,0.0113,0.0039,-0.0145
229,0.0478,0.0859,1.0498,-0.0505,0.0019,0.0233
230,0.0211,0.0249,1.0182,0.0142,-0.0201,-0.0001
231,0.0417,0.1245,1.0594,0.0663,0.0196,-0.0638
232,0.0707,0.0569,1.0636,-0.0121,-0.0242,0.0439
233,0.0111,0.0857,1.0385,-0.0317,-0.0056,-0.0148
234,0.0387,0.0519,1.0355,0.0186,0.0088,-0.0322
235,0.0578,0.122,1.0487,0.0459,-0.0004,-0.0035
236,0.019,0.0607,1.0642,-0.0039,-0.0253,0.0182
237,-0.0018,0.1293,1.0386,-0.0249,0.0149,-0.0501
238,0.0911,0.091,1.014,0.0336,-0.039,-0.0109
239,-0.0224,0.1215,1.089,0.0285,0.049,0.0427
240,0.016,0.1043,1.0176,0.0024,-0.0366,-0.055
241,0.0433,0.1466,1.0446,-0.0258,-0.0036,-0.0117
242,0.0281,0.1004,1.022,0.025,0.0292,0.0686
243,-0.0441,0.1152,1.0544,0.0485,-0.0241,-0.0075
244,0.0607,0.1218,1.0502,-0.0246,0.0136,-0.0767
245,0.0423,0.1139,1.0426,-0.0313,-0.0277,0.079
246,-0.0466,0.0645,1.0211,0.0491,0.0077,-0.0138
247,0.0798,0.1669,1.0417,0.0455,-0.0391,-0.0578
248,0.0188,0.0928,1.0889,-0.0489,0.0353,0.0812
249,-0.005,0.0747,0.9905,-0.008,-0.0462,-0.0103
250,0.0536,0.1161,1.0632,0.0423,0.0202,-0.0607
251,0.0581,0.0923,1.0568,0.0073,-0.0051,0.0917
252,-0.0093,0.0497,1.0557,-0.0165,-0.0373,-0.022
253,0.0669,0.1036,1.0228,-0.0128,0.0133,-0.0708
254,0.0746,0.0889,1.0543,0.0321,-0.0099,0.0461
255,-0.0147,0.0403,1.0599,0.0112,-0.0012,0.0406
256,0.045,0.0975,1.0415,-0.0134,-0.0115,-0.0791
257,0.0654,0.0709,1.0549,-0.0145,-0.0028,0.0463
258,0.0,0.0567,1.0336,0.0406,-0.0119,0.0097
259,0.0414,0.0609,1.0668,0.0134,0.0057,-0.0529
260,0.0431,0.1089,1.0524,-0.0317,-0.0153,-0.0099
261,0.0427,0.0086,1.0411,0.0001,-0.0138,0.032
262,0.0161,0.102,1.0432,0.0465,0.0366,-0.0162
263,0.059,0.0498,1.079,0.0064,-0.0387,-0.0015
264,0.0166,0.1061,1.0462,-0.0372,0.0053,0.062
265,0.0123,0.0547,1.0115,0.0383,-0.0268,-0.0229
266,0.0453,0.1327,1.0689,0.0435,0.026,-0.0387
267,0.0375,0.0735,1.0578,-0.0186,-0.0142,0.0349
