Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
156,-0.0156,-0.018,1.0489,0.0092,-0.002,-0.0024
157,-0.0125,-0.022,1.0509,0.0064,-0.0056,-0.0036
158,-0.0154,-0.0189,1.0468,0.0093,-0.002,-0.0027
159,-0.013,-0.0195,1.0487,0.0071,-0.0001,-0.0028
160,-0.0142,-0.0241,1.0491,0.0077,-0.0001,-0.0036
161,-0.0204,-0.0228,1.0494,0.0084,-0.0035,-0.0004
162,-0.0189,-0.0199,1.0498,0.01,-0.0047,-0.0004
163,-0.0158,-0.0206,1.0496,0.0099,-0.0044,-0.0024
164,-0.0249,-0.0168,1.0488,0.0088,-0.0056,0.0021
165,-0.0307,-0.014,1.0508,0.0099,-0.0087,0.0044
166,-0.0224,-0.0157,1.0436,0.0068,-0.014,0.0117
167,-0.0403,-0.0031,1.0496,0.0063,-0.0056,0.0069
168,-0.0393,-0.0117,1.0503,0.0111,0.0011,0.0023
169,-0.0479,-0.011,1.0508,0.0043,-0.0029,0.0088
170,-0.0607,-0.0147,1.0535,0.0059,-0.0115,0.0205
171,-0.0678,-0.0007,1.0457,0.0091,-0.0104,0.0258
172,-0.0719,0.0007,1.042,0.0115,-0.0032,0.0277
173,-0.0793,0.0061,1.044,0.0238,0.0144,0.0297
174,-0.0999,-0.0004,1.05,0.0096,0.0081,0.0333
175,-0.097,0.0108,1.0485,0.0144,0.0008,0.0345
176,-0.0964,0.0051,1.068,-0.0067,-0.01,0.0286
177,-0.0727,0.0026,1.0497,-0.0092,-0.0253,0.023
178,-0.0746,0.0027,1.0541,-0.0261,-0.0458,0.0256
179,-0.0717,-0.0151,1.0118,0.0177,0.0169,0.0216
180,-0.0535,-0.062,1.0753,-0.0246,-0.0374,0.0368
181,-0.0862,0.0198,1.0684,0.008,-0.017,0.0545
182,-0.0527,-0.004,0.9976,0.0819,0.0533,0.0493
183,-0.0557,-0.0201,1.1246,-0.0312,-0.0214,0.041
184,-0.0551,0.0259,1.0355,0.0474,0.0422,0.0389
185,-0.0285,-0.0242,1.0217,-0.0145,-0.0268,0.0375
186,-0.0215,-0.0281,1.0681,0.0515,0.0274,0.0389
187,-0.0167,-0.0402,1.0092,-0.0278,-0.0554,0.0578
188,0.0054,-0.01,1.03,0.0353,-0.0261,0.0678
189,-0.0436,0.0069,1.0864,0.0212,-0.0188,0.0732
190,-0.0336,-0.0692,1.0225,0.0164,-0.0032,0.0766
191,-0.0135,0.0117,1.085,-0.0166,-0.0502,0.0843
192,-0.0404,-0.0269,1.042,0.0092,0.0019,0.0776
193,-0.0228,-0.0107,1.0199,0.0138,-0.0047,0.0631
194,-0.061,-0.0517,1.0681,0.002,0.0063,0.0655
195,-0.0123,-0.0356,1.0567,-0.0426,-0.0491,0.0614
196,-0.0502,-0.021,1.0035,-0.0081,-0.0153,0.0527
197,-0.0399,-0.0388,1.0531,-0.0073,-0.0088,0.0507
198,-0.0581,-0.0349,1.06,-0.0228,-0.0407,0.0494
199,-0.0934,-0.022,0.9801,0.0675,0.0668,0.0403
200,-0.042,-0.0297,1.1342,0.0716,0.057,0.0265
201,-0.0577,-0.0561,1.0554,-0.0056,-0.0599,0.0294
202,-0.0396,-0.0552,1.0178,-0.0402,-0.0901,0.033
203,-0.0352,-0.0541,1.0352,0.0021,-0.0304,0.0321
204,-0.044,-0.0206,1.098,-0.061,-0.0507,0.0301
205,-0.0731,0.022,1.016,0.1107,0.0999,0.0329
206,-0.1052,-0.0554,1.087,-0.012,0.0439,0.0304
207,-0.0533,0.0127,0.9492,0.0832,0.0851,0.0417
208,-0.0135,-0.022,1.0729,0.0344,0.0153,0.0429
209,-0.0352,-0.0565,0.975,0.006,-0.0276,0.0302
210,0.0042,-0.0659,1.0858,-0.0173,-0.0125,0.0258
211,-0.0208,-0.0587,1.1136,-0.0951,-0.0863,0.0057
212,-0.0303,0.0571,1.0595,-0.0073,-0.0186,-0.0065
213,0.0015,-0.0399,1.0109,0.0378,0.0563,-0.0221
214,-0.0219,-0.0496,0.9947,0.0533,0.0305,-0.0463
215,0.04,0.0183,1.1443,0.0289,0.0134,-0.0499
216,0.0008,-0.0443,0.9037,0.0059,-0.0093,-0.0876
217,-0.096,-0.04,1.0275,0.0883,0.1093,-0.0957
218,-0.0873,0.045,1.1055,0.2981,0.2877,-0.0699
219,-0.0424,-0.112,1.0635,0.1418,0.0868,-0.0607
220,0.0326,-0.1521,1.2407,-0.1952,-0.2671,-0.0395
221,-0.0628,0.0448,0.9944,-0.1236,-0.1687,-0.0683
222,0.0041,0.0436,1.1107,0.0115,-0.0276,-0.0322
223,-0.0651,-0.0013,1.0307,0.0136,0.0391,-0.0635
224,0.024,-0.0057,0.9813,0.0104,0.0505,-0.0776
225,-0.0189,-0.0689,1.0371,-0.0393,0.0003,-0.066
226,0.0073,-0.1078,0.9753,-0.0869,-0.1108,-0.0273
227,0.0031,-0.0696,1.0083,-0.0907,-0.122,0.0309
228,-0.0494,0.0142,0.9969,0.0979,0.078,0.0678
229,-0.0582,-0.0248,1.0115,0.1341,0.1206,0.0933
230,-0.0093,-0.0305,1.0583,0.1405,0.1146,0.1142
231,-0.0096,-0.0876,1.0007,0.0156,-0.0264,0.1148
232,0.0314,-0.0717,1.332,-0.192,-0.1656,0.1122
233,-0.1526,0.0247,0.9658,-0.0172,-0.0069,0.0771
234,0.082,-0.0605,1.0106,-0.0309,-0.0724,0.1041
235,0.0278,-0.0853,1.1494,-0.0969,-0.1455,0.068
236,0.042,-0.0515,0.992,-0.0071,-0.0672,0.0314
237,-0.032,-0.0359,1.0286,-0.0751,-0.0985,-0.0292
