Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
263,-0.0291,0.0116,1.0404,0.01,-0.0025,-0.0029
264,-0.0283,0.0085,1.0404,0.0107,-0.0049,-0.0031
265,-0.0314,0.012,1.0364,0.0096,-0.0025,-0.0012
266,-0.0266,0.0088,1.0415,0.0097,-0.0033,-0.0024
267,-0.0282,0.0193,1.0397,0.0089,-0.0048,-0.0013
268,-0.0281,0.0128,1.0403,0.0128,-0.0036,-0.0013
269,-0.0266,0.0106,1.0393,0.0108,-0.0024,-0.0004
270,-0.0261,0.0105,1.0367,0.0099,-0.0009,-0.0028
271,-0.0287,0.0079,1.0391,0.0104,-0.0024,-0.0024
272,-0.0288,0.0089,1.0364,0.0096,-0.006,-0.0019
273,-0.0306,0.0114,1.0382,0.008,-0.0005,-0.0019
274,-0.0304,0.0093,1.0375,0.0089,-0.0016,0.0003
275,-0.0278,0.01,1.0414,0.0099,-0.0043,-0.0013
276,-0.0278,0.0077,1.0343,0.0089,-0.0036,-0.0044
277,-0.0287,0.0081,1.0396,0.0095,-0.0036,-0.0024
278,-0.0276,0.0096,1.0414,0.0079,-0.0011,-0.0032
279,-0.0269,0.0123,1.043,0.0115,0.0005,-0.0016
280,-0.027,0.0076,1.0404,0.0084,-0.0031,-0.0013
281,-0.0277,0.0098,1.0433,0.0044,-0.0069,-0.0013
282,-0.0282,0.0098,1.0394,0.0081,-0.0028,-0.0011
283,-0.0275,0.01,1.0365,0.0083,-0.0036,-0.0021
284,-0.0288,0.0076,1.0308,0.0101,-0.0043,-0.0019
285,-0.0254,0.0131,1.0375,0.0134,-0.0009,-0.0013
286,-0.0281,0.0121,1.0308,0.0095,-0.0021,-0.0005
287,-0.0297,0.0125,1.0372,0.0053,-0.0051,-0.0031
288,-0.0272,0.0095,1.0391,0.0023,-0.0045,0.0008
289,-0.0283,0.0101,1.0341,0.0068,0.002,-0.0051
290,-0.028,0.006,1.0399,0.0136,-0.0043,-0.0055
291,-0.0269,0.0089,1.036,0.012,0.0,-0.0052
292,-0.0283,0.0123,1.0353,0.0093,-0.0016,-0.002
293,-0.0219,0.0033,1.0402,0.0093,-0.0017,-0.0056
294,-0.0238,0.0056,1.0374,0.008,-0.0021,-0.0189
295,-0.02,0.0112,1.0359,0.0048,0.0019,-0.0306
296,-0.0315,0.0127,1.0365,0.0104,-0.0011,-0.0273
297,-0.0289,0.0109,1.0345,0.0091,-0.0029,-0.0101
298,-0.0231,0.0104,1.0388,0.0055,-0.0021,-0.0242
299,-0.0325,0.0104,1.0396,0.0053,-0.0033,-0.0032
300,-0.0271,0.0088,1.0389,0.0096,-0.0039,-0.0016
301,-0.0278,0.0115,1.0399,0.0091,-0.0011,-0.0008
302,-0.0286,0.0073,1.0371,0.004,-0.0019,-0.0005
303,-0.0259,0.0122,1.038,0.0021,-0.0051,-0.0001
304,-0.0306,0.0067,1.0388,0.004,-0.0028,-0.0023
305,-0.0269,0.0087,1.0386,0.0071,-0.0037,-0.0001
306,-0.0237,0.014,1.0409,0.0031,-0.0039,0.0051
307,0.0061,-0.0524,0.9961,-0.0944,-0.0124,0.2748
308,0.0045,0.0437,1.0657,-0.1957,-0.0108,0.0722
309,-0.032,0.0372,1.0687,-0.3306,-0.0385,0.0115
310,-0.0264,-0.0131,1.0358,-0.5059,-0.0558,0.013
311,-0.0253,-0.0388,1.036,-0.472,-0.0558,0.0208
312,-0.0073,-0.0444,1.0685,-0.6343,-0.065,0.0755
313,-0.0306,-0.072,1.0393,-0.8081,-0.1328,0.0503
314,-0.0083,-0.0774,0.9912,-0.7441,-0.0828,-0.1832
315,-0.0068,-0.093,1.0243,-0.6134,-0.0758,-0.0107
316,-0.0151,-0.1453,1.0514,-0.6816,-0.0846,-0.1173
317,0.0049,-0.1306,1.0062,-0.6441,0.02,-0.1308
318,-0.0132,-0.1001,1.0328,-0.4443,0.1373,-0.0075
319,-0.0104,-0.1475,1.0244,-0.4636,0.0345,0.0405
320,-0.0178,-0.1732,1.0287,-0.4963,0.041,0.0443
321,-0.0149,-0.2007,1.0389,-0.6676,-0.0209,0.0079
322,-0.0151,-0.2225,1.0078,-0.6242,0.1044,-0.0154
323,-0.0273,-0.2068,1.0229,-0.6028,0.1694,-0.0258
324,-0.0297,-0.2117,1.0267,-0.8031,0.1152,-0.0558
325,-0.0347,-0.2412,0.99,-0.8788,0.1039,-0.0157
326,-0.0298,-0.3025,0.988,-0.786,0.0706,-0.0057
327,-0.0317,-0.2905,0.9818,-0.6885,0.096,-0.0334
328,-0.0458,-0.306,0.972,-0.7248,0.0885,-0.0308
329,-0.0404,-0.3094,1.0029,-0.8082,0.0387,-0.0666
330,-0.0424,-0.3391,0.9814,-0.912,0.01,-0.0667
331,-0.038,-0.3715,0.9559,-0.8933,-0.015,-0.0666
332,-0.0333,-0.3951,0.9523,-0.8632,0.0221,-0.0264
333,-0.0432,-0.4028,0.9642,-0.8853,0.0446,-0.0206
334,-0.0446,-0.4259,0.9469,-0.9821,0.0277,-0.0204
